# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
12.096,960.66,14.866,18.171,-10.021,3.896,104.033,2588.645,0.287,82.461,63.479,2.411,0,0.713,0.596,0.892,0.597,2.152
12.146,961.391,14.366,17.759,-10.006,4.184,102.173,2588.645,0.287,82.306,63.479,2.391,0,0.694,0.596,0.965,0.59,2.054
12.196,962.097,13.866,17.352,-9.986,4.459,100.433,2588.645,0.287,82.161,63.479,2.373,0,0.677,0.596,1.036,0.59,1.959
12.246,962.777,13.368,16.95,-9.932,4.937,98.886,2588.645,0.287,81.915,63.479,2.341,0,0.676,0.596,1.161,0.582,1.867
12.296,963.433,12.872,16.554,-9.913,5.143,97.487,2588.645,0.287,81.811,63.479,2.328,0,0.657,0.596,1.215,0.571,1.78
12.346,964.065,12.376,16.164,-9.904,5.219,96.041,2588.645,0.287,81.772,63.479,2.323,0,0.632,0.596,1.236,0.564,1.696
12.396,964.671,11.882,15.78,-9.878,5.394,94.581,2588.645,0.287,81.685,63.479,2.312,0,0.615,0.596,1.283,0.556,1.616
12.446,965.253,11.388,15.403,-9.856,5.509,93.157,2588.645,0.287,81.628,63.479,2.305,0,0.597,0.596,1.314,0.545,1.539
12.496,965.81,10.896,15.034,-9.841,5.535,91.73,2588.645,0.287,81.615,63.479,2.303,0,0.575,0.596,1.321,0.536,1.466
12.546,966.342,10.404,14.673,-9.823,5.565,90.293,2588.645,0.287,81.6,63.479,2.301,0,0.555,0.596,1.329,0.532,1.396
12.596,966.85,9.914,14.32,-9.786,5.817,88.93,2588.645,0.287,81.477,63.479,2.286,0,0.547,0.596,1.398,0.524,1.329
12.646,967.334,9.425,13.976,-9.766,5.867,87.648,2588.645,0.287,81.453,63.479,2.283,0,0.531,0.596,1.412,0.516,1.266
12.696,967.793,8.937,13.641,-9.748,5.912,86.375,2588.645,0.287,81.431,63.479,2.28,0,0.514,0.596,1.424,0.509,1.206
12.746,968.228,8.451,13.317,-9.73,5.964,85.123,2588.645,0.287,81.405,63.479,2.277,0,0.499,0.596,1.438,0.496,1.149
12.796,968.638,7.964,13.003,-9.728,5.798,83.845,2588.645,0.287,81.485,63.479,2.287,0,0.476,0.596,1.393,0.493,1.096
12.846,969.024,7.478,12.701,-9.7,6.036,82.59,2588.645,0.287,81.371,63.479,2.272,0,0.47,0.596,1.458,0.505,1.045
12.896,969.386,6.995,12.41,-9.635,6.83,81.611,2588.645,0.287,80.999,63.479,2.225,0,0.491,0.596,1.682,0.503,0.995
12.946,969.724,6.514,12.133,-9.612,7.033,80.875,2588.645,0.287,80.907,63.479,2.213,0,0.486,0.596,1.74,0.5,0.951
12.996,970.037,6.034,11.869,-9.595,7.178,80.164,2588.645,0.287,80.842,63.479,2.205,0,0.48,0.596,1.782,0.494,0.91
13.046,970.327,5.554,11.62,-9.588,7.217,79.456,2588.645,0.287,80.824,63.479,2.203,0,0.47,0.596,1.793,0.489,0.872
13.096,970.593,5.075,11.386,-9.583,7.238,78.727,2588.645,0.287,80.815,63.479,2.202,0,0.459,0.596,1.799,0.488,0.837
13.146,970.834,4.596,11.168,-9.57,7.398,78.032,2588.645,0.287,80.743,63.479,2.193,0,0.457,0.596,1.846,0.486,0.805
13.196,971.052,4.118,10.967,-9.563,7.505,77.409,2588.645,0.287,80.696,63.479,2.187,0,0.454,0.596,1.877,0.488,0.776
13.246,971.246,3.64,10.785,-9.55,7.72,76.879,2588.645,0.287,80.601,63.479,2.175,0,0.458,0.596,1.941,0.477,0.75
13.296,971.416,3.162,10.621,-9.569,7.52,76.329,2588.645,0.287,80.689,63.479,2.186,0,0.437,0.596,1.882,0.459,0.728
13.346,971.562,2.683,10.478,-9.601,7.133,75.527,2588.645,0.287,80.861,63.479,2.208,0,0.405,0.596,1.769,0.456,0.709
13.396,971.685,2.203,10.355,-9.602,7.243,74.612,2588.645,0.287,80.811,63.479,2.201,0,0.4,0.596,1.801,0.46,0.692
13.446,971.783,1.723,10.254,-9.595,7.525,73.85,2588.645,0.287,80.686,63.479,2.185,0,0.406,0.596,1.883,0.459,0.678
13.496,971.857,1.243,10.175,-9.596,7.719,73.231,2588.645,0.287,80.601,63.479,2.175,0,0.405,0.596,1.94,0.449,0.668
13.546,971.907,0.763,10.119,-9.609,7.677,72.577,2588.645,0.287,80.619,63.479,2.177,0,0.388,0.596,1.928,0.451,0.66
13.596,971.933,0.282,10.085,-9.608,7.971,71.908,2588.645,0.287,80.492,63.479,2.161,0,0.391,0.596,2.016,0.454,0.655
13.646,971.935,-0.198,10.075,-9.607,8.273,71.376,2588.645,0.287,80.363,63.479,2.144,0,0.395,0.596,2.107,0.442,0.654
13.696,971.913,-0.679,10.088,-9.396,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,22.161,40.291,NaN,NaN,NaN
13.775,971.831,-1.418,9.502,-8.979,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,21.14,40.291,NaN,NaN,NaN
13.857,971.683,-2.16,8.994,-8.574,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,20.387,40.291,NaN,NaN,NaN
13.944,971.464,-2.9,8.571,-8.206,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,19.126,40.291,NaN,NaN,NaN
14.035,971.165,-3.651,8.264,-7.844,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,18.176,40.291,NaN,NaN,NaN
14.132,970.775,-4.41,8.081,-7.494,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,17.333,40.291,NaN,NaN,NaN
14.234,970.285,-5.176,8.031,-7.204,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,15.955,40.291,NaN,NaN,NaN
14.344,969.674,-5.966,8.142,-6.845,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,15.563,40.291,NaN,NaN,NaN
14.46,968.936,-6.76,8.379,-6.502,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,15.096,40.291,NaN,NaN,NaN
14.584,968.051,-7.564,8.738,-6.274,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,13.789,40.291,NaN,NaN,NaN
14.718,966.977,-8.407,9.251,-5.74,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,14.799,40.291,NaN,NaN,NaN
14.861,965.72,-9.226,9.804,-5.284,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,15.203,40.291,NaN,NaN,NaN
15.015,964.234,-10.041,10.418,-4.68,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,16.502,40.291,NaN,NaN,NaN
15.181,962.505,-10.817,11.043,-4.15,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,17.312,40.291,NaN,NaN,NaN
15.363,960.463,-11.574,11.699,-3.608,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,18.159,40.291,NaN,NaN,NaN
15.567,958.022,-12.311,12.38,-2.955,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,19.612,40.291,NaN,NaN,NaN
15.795,955.146,-12.983,13.039,-2.366,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,20.795,40.291,NaN,NaN,NaN
16.054,951.707,-13.595,13.684,-2.001,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,20.865,40.291,NaN,NaN,NaN
16.402,946.845,-14.293,14.442,-1.31,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,22.364,40.291,NaN,NaN,NaN
16.882,939.841,-14.921,15.168,-0.599,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,24.089,40.291,NaN,NaN,NaN
17.382,932.305,-15.221,15.591,-0.308,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,24.618,40.291,NaN,NaN,NaN
17.882,924.656,-15.375,15.808,-0.111,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.121,40.291,NaN,NaN,NaN
18.382,916.955,-15.43,15.933,-0.034,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.321,40.291,NaN,NaN,NaN
18.882,909.236,-15.447,16.029,0.004,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.439,40.291,NaN,NaN,NaN
19.382,901.513,-15.445,16.13,-0.017,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.319,40.291,NaN,NaN,NaN
19.882,893.789,-15.453,16.173,0.004,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.383,40.291,NaN,NaN,NaN
20.382,886.063,-15.451,16.222,0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.38,40.291,NaN,NaN,NaN
20.882,878.338,-15.448,16.258,0.011,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.395,40.291,NaN,NaN,NaN
21.382,870.615,-15.443,16.299,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.374,40.291,NaN,NaN,NaN
21.882,862.895,-15.439,16.294,0.015,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.409,40.291,NaN,NaN,NaN
22.382,855.177,-15.431,16.339,0.014,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.406,40.291,NaN,NaN,NaN
22.882,847.463,-15.425,16.39,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.375,40.291,NaN,NaN,NaN
23.382,839.752,-15.421,16.404,0.014,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.405,40.291,NaN,NaN,NaN
23.882,832.043,-15.414,16.345,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.378,40.291,NaN,NaN,NaN
24.382,824.337,-15.41,16.326,0.029,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.478,40.291,NaN,NaN,NaN
24.882,816.636,-15.396,16.215,8.657e-4,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.363,40.291,NaN,NaN,NaN
25.382,808.938,-15.395,16.186,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.377,40.291,NaN,NaN,NaN
25.882,801.241,-15.392,16.159,0.013,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.398,40.291,NaN,NaN,NaN
26.382,793.547,-15.385,16.112,0.014,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.407,40.291,NaN,NaN,NaN
26.882,785.856,-15.378,16.155,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.376,40.291,NaN,NaN,NaN
27.382,778.168,-15.375,16.138,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.393,40.291,NaN,NaN,NaN
27.882,770.482,-15.369,16.165,0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.386,40.291,NaN,NaN,NaN
28.382,762.799,-15.364,16.137,0.024,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.454,40.291,NaN,NaN,NaN
28.882,755.12,-15.352,16.047,0.02,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.452,40.291,NaN,NaN,NaN
29.382,747.447,-15.342,15.954,-0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.351,40.291,NaN,NaN,NaN
29.882,739.775,-15.343,15.97,0.025,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.472,40.291,NaN,NaN,NaN
30.382,732.107,-15.331,16.047,-0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.35,40.291,NaN,NaN,NaN
30.882,724.441,-15.332,16.059,0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.374,40.291,NaN,NaN,NaN
31.382,716.776,-15.329,16.043,0.009,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.382,40.291,NaN,NaN,NaN
31.882,709.112,-15.324,16.029,0.014,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.405,40.291,NaN,NaN,NaN
32.382,701.452,-15.317,15.981,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.398,40.291,NaN,NaN,NaN
32.882,693.795,-15.311,16.015,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.377,40.291,NaN,NaN,NaN
33.382,686.14,-15.307,16.009,0.03,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.487,40.291,NaN,NaN,NaN
33.882,678.491,-15.292,16.09,-0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.352,40.291,NaN,NaN,NaN
34.382,670.844,-15.293,16.096,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.383,40.291,NaN,NaN,NaN
34.882,663.199,-15.289,16.064,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.399,40.291,NaN,NaN,NaN
35.382,655.556,-15.283,16.015,0.021,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.445,40.291,NaN,NaN,NaN
35.882,647.917,-15.272,15.93,0.001,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.361,40.291,NaN,NaN,NaN
36.382,640.281,-15.272,15.925,0.015,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.414,40.291,NaN,NaN,NaN
36.882,632.647,-15.264,15.972,0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.377,40.291,NaN,NaN,NaN
37.382,625.015,-15.261,15.991,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.399,40.291,NaN,NaN,NaN
37.882,617.386,-15.255,16.027,0.021,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.446,40.291,NaN,NaN,NaN
38.382,609.761,-15.245,16.097,0.009,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.401,40.291,NaN,NaN,NaN
38.882,602.14,-15.24,16.031,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.391,40.291,NaN,NaN,NaN
39.382,594.521,-15.236,16.076,0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.372,40.291,NaN,NaN,NaN
39.882,586.904,-15.233,16.071,0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.386,40.291,NaN,NaN,NaN
40.382,579.289,-15.228,16.047,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.391,40.291,NaN,NaN,NaN
40.882,571.676,-15.222,16.017,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.395,40.291,NaN,NaN,NaN
41.382,564.067,-15.216,15.98,0.015,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.409,40.291,NaN,NaN,NaN
41.882,556.46,-15.209,15.926,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.38,40.291,NaN,NaN,NaN
42.382,548.857,-15.205,15.909,0.024,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.457,40.291,NaN,NaN,NaN
42.882,541.258,-15.193,15.821,0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.363,40.291,NaN,NaN,NaN
43.382,533.662,-15.192,15.818,0.017,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.426,40.291,NaN,NaN,NaN
43.882,526.068,-15.183,15.869,0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.38,40.291,NaN,NaN,NaN
44.382,518.477,-15.18,15.838,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.398,40.291,NaN,NaN,NaN
44.882,510.889,-15.174,15.793,0.025,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.467,40.291,NaN,NaN,NaN
45.382,503.305,-15.162,15.864,-1.284e-4,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.36,40.291,NaN,NaN,NaN
45.882,495.724,-15.162,15.845,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.38,40.291,NaN,NaN,NaN
46.382,488.144,-15.158,15.86,0.011,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.393,40.291,NaN,NaN,NaN
46.882,480.567,-15.152,15.885,0.009,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.383,40.291,NaN,NaN,NaN
47.382,472.992,-15.148,15.887,0.027,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.471,40.291,NaN,NaN,NaN
47.882,465.421,-15.134,15.962,0.001,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.365,40.291,NaN,NaN,NaN
48.382,457.854,-15.134,15.983,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.379,40.291,NaN,NaN,NaN
48.882,450.288,-15.13,15.996,0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.387,40.291,NaN,NaN,NaN
48.883,450.273,-15.13,15.996,61.553,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,184.711,293.153,NaN,NaN,NaN
48.899,450.035,-14.13,15.049,52.432,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,161.092,293.153,NaN,NaN,NaN
48.918,449.775,-13.13,14.111,43.936,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,139.094,293.153,NaN,NaN,NaN
48.941,449.488,-12.13,13.184,36.065,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,118.72,293.153,NaN,NaN,NaN
48.969,449.166,-11.13,12.273,28.816,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,99.953,293.153,NaN,NaN,NaN
49.003,448.797,-10.13,11.374,22.195,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,82.825,293.153,NaN,NaN,NaN
49.048,448.363,-9.13,10.482,16.192,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,67.279,293.153,NaN,NaN,NaN
49.11,447.83,-8.131,9.613,10.818,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,53.381,293.153,NaN,NaN,NaN
49.202,447.125,-7.132,8.756,6.115,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,41.328,293.153,NaN,NaN,NaN
49.362,446.063,-6.154,7.847,2.017,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,30.592,293.153,NaN,NaN,NaN
49.623,444.528,-5.629,7.498,0.177,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,26.065,293.153,NaN,NaN,NaN
49.908,442.932,-5.578,7.205,-0.034,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.421,293.153,NaN,NaN,NaN
50.195,441.327,-5.588,7.022,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.57,293.153,NaN,NaN,NaN
50.482,439.725,-5.584,7.227,-0.016,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.449,293.153,NaN,NaN,NaN
50.769,438.122,-5.589,7.416,-0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.449,293.153,NaN,NaN,NaN
51.056,436.519,-5.591,7.592,-0.03,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.307,293.153,NaN,NaN,NaN
51.342,434.916,-5.6,7.685,0.024,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.508,293.153,NaN,NaN,NaN
51.628,433.315,-5.593,7.84,-0.031,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.281,293.153,NaN,NaN,NaN
51.915,431.712,-5.602,7.869,0.052,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.624,293.153,NaN,NaN,NaN
52.201,430.113,-5.587,8.063,-0.048,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.236,293.153,NaN,NaN,NaN
52.487,428.509,-5.601,8.047,0.023,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.474,293.153,NaN,NaN,NaN
52.773,426.909,-5.594,8.177,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.471,293.153,NaN,NaN,NaN
53.059,425.309,-5.591,8.342,0.171,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,26.333,293.153,NaN,NaN,NaN
53.345,423.716,-5.542,7.884,-0.167,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.012,293.153,NaN,NaN,NaN
53.634,422.109,-5.59,7.758,0.068,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.792,293.153,NaN,NaN,NaN
53.92,420.512,-5.571,7.47,-0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.602,293.153,NaN,NaN,NaN
54.208,418.912,-5.571,7.214,-0.085,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.159,293.153,NaN,NaN,NaN
54.495,417.309,-5.596,7.161,-0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.367,293.153,NaN,NaN,NaN
54.78,415.71,-5.596,7.107,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.406,293.153,NaN,NaN,NaN
55.066,414.111,-5.594,7.187,-0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.371,293.153,NaN,NaN,NaN
55.352,412.513,-5.595,7.253,0.04,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.581,293.153,NaN,NaN,NaN
55.638,410.916,-5.583,7.075,-0.037,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.28,293.153,NaN,NaN,NaN
55.924,409.316,-5.594,7.146,0.044,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.599,293.153,NaN,NaN,NaN
56.209,407.72,-5.581,6.965,0.047,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.729,293.153,NaN,NaN,NaN
56.496,406.125,-5.568,7.196,0.108,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,26.171,293.153,NaN,NaN,NaN
56.783,404.532,-5.537,7.555,-0.189,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,24.894,293.153,NaN,NaN,NaN
57.071,402.927,-5.591,7.68,-0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.347,293.153,NaN,NaN,NaN
57.357,401.33,-5.593,7.714,0.179,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,26.291,293.153,NaN,NaN,NaN
57.642,399.74,-5.542,7.31,-0.172,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,24.924,293.153,NaN,NaN,NaN
57.93,398.137,-5.592,7.399,-2.869e-4,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.362,293.153,NaN,NaN,NaN
58.216,396.541,-5.592,7.369,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.397,293.153,NaN,NaN,NaN
58.501,394.945,-5.59,7.437,0.016,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.457,293.153,NaN,NaN,NaN
58.786,393.35,-5.585,7.312,-0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.36,293.153,NaN,NaN,NaN
59.072,391.754,-5.588,7.232,0.028,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.527,293.153,NaN,NaN,NaN
59.358,390.16,-5.58,7.383,-0.033,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.279,293.153,NaN,NaN,NaN
59.643,388.564,-5.589,7.427,0.014,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.431,293.153,NaN,NaN,NaN
59.929,386.97,-5.585,7.523,-0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.332,293.153,NaN,NaN,NaN
60.214,385.375,-5.589,7.552,0.059,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.664,293.153,NaN,NaN,NaN
60.499,383.784,-5.572,7.336,-0.043,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.286,293.153,NaN,NaN,NaN
60.785,382.188,-5.584,7.444,-0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.328,293.153,NaN,NaN,NaN
61.071,380.594,-5.588,7.435,0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.407,293.153,NaN,NaN,NaN
61.356,379.001,-5.585,7.51,-0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.341,293.153,NaN,NaN,NaN
61.641,377.408,-5.587,7.514,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.394,293.153,NaN,NaN,NaN
61.926,375.815,-5.585,7.448,-0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.356,293.153,NaN,NaN,NaN
62.211,374.222,-5.586,7.481,0.026,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.496,293.153,NaN,NaN,NaN
62.497,372.631,-5.578,7.614,-0.021,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.314,293.153,NaN,NaN,NaN
62.782,371.038,-5.584,7.67,-0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.356,293.153,NaN,NaN,NaN
63.067,369.446,-5.585,7.651,0.028,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.5,293.153,NaN,NaN,NaN
63.352,367.855,-5.577,7.788,-0.013,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.359,293.153,NaN,NaN,NaN
63.637,366.264,-5.58,7.89,0.019,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.487,293.153,NaN,NaN,NaN
63.923,364.673,-5.575,8.043,0.025,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.563,293.153,NaN,NaN,NaN
64.208,363.083,-5.568,7.829,-0.029,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.346,293.153,NaN,NaN,NaN
64.494,361.492,-5.576,7.7,0.093,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.902,293.153,NaN,NaN,NaN
64.779,359.905,-5.549,7.387,0.156,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,26.478,293.153,NaN,NaN,NaN
65.065,358.321,-5.505,6.923,-0.259,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,24.712,293.153,NaN,NaN,NaN
65.354,356.72,-5.579,6.913,0.03,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.531,293.153,NaN,NaN,NaN
65.639,355.132,-5.571,6.768,-0.033,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.277,293.153,NaN,NaN,NaN
65.924,353.541,-5.58,6.799,0.13,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,26.037,293.153,NaN,NaN,NaN
66.209,351.957,-5.543,7.044,0.082,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,26.129,293.153,NaN,NaN,NaN
66.496,350.372,-5.519,7.407,-0.192,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,24.904,293.153,NaN,NaN,NaN
66.784,348.775,-5.575,7.556,0.072,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.768,293.153,NaN,NaN,NaN
67.069,347.19,-5.554,7.797,-0.064,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.247,293.153,NaN,NaN,NaN
67.355,345.599,-5.573,7.937,0.039,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.608,293.153,NaN,NaN,NaN
67.64,344.013,-5.562,7.716,-0.054,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.224,293.153,NaN,NaN,NaN
67.925,342.423,-5.577,7.761,0.068,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.714,293.153,NaN,NaN,NaN
68.21,340.838,-5.558,7.52,-0.057,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.236,293.153,NaN,NaN,NaN
68.495,339.248,-5.574,7.45,-0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.363,293.153,NaN,NaN,NaN
