t,w1,w2,w3,v1,v2,v3,qw,qx,qy,qz
5.73500000000025,0.0,0.0,0.14462272262523104,0.0,0.0,89.54228838395063,0.9793104301402269,0.0,0.0,0.2023637354334117
5.73600000000025,0.0,0.0,0.1446367538126986,0.0,0.0,89.52720027449315,0.9792957943827014,0.0,0.0,0.20243455017450446
5.737000000000251,0.0,0.0,0.14465078027198108,0.0,0.0,89.51211403100474,0.9792811520838083,0.0,0.0,0.20250537072731914
5.738000000000251,0.0,0.0,0.14466480200445986,0.0,0.0,89.49702965291176,0.9792665032426131,0.0,0.0,0.20257619708886226
5.739000000000251,0.0,0.0,0.14467881901151583,0.0,0.0,89.4819471396408,0.9792518478581804,0.0,0.0,0.20264702925614062
5.740000000000252,0.0,0.0,0.1446928312945294,0.0,0.0,89.46686649061859,0.9792371859295766,0.0,0.0,0.2027178672261618
5.741000000000252,0.0,0.0,0.14470683885488053,0.0,0.0,89.45178770527211,0.979222517455868,0.0,0.0,0.20278871099593387
5.742000000000252,0.0,0.0,0.1447208416939487,0.0,0.0,89.43671078302853,0.9792078424361211,0.0,0.0,0.2028595605624655
5.743000000000253,0.0,0.0,0.1447348398131129,0.0,0.0,89.42163572331519,0.9791931608694033,0.0,0.0,0.2029304159227659
5.744000000000253,0.0,0.0,0.14474883321375165,0.0,0.0,89.40656252555966,0.9791784727547824,0.0,0.0,0.2030012770738449
5.745000000000253,0.0,0.0,0.14476282189724302,0.0,0.0,89.3914911891897,0.9791637780913264,0.0,0.0,0.2030721440127129
5.746000000000254,0.0,0.0,0.14477680586496455,0.0,0.0,89.37642171363325,0.9791490768781037,0.0,0.0,0.20314301673638083
5.747000000000254,0.0,0.0,0.14479078511829338,0.0,0.0,89.36135409831846,0.9791343691141837,0.0,0.0,0.20321389524186023
5.748000000000254,0.0,0.0,0.14480475965860612,0.0,0.0,89.34628834267367,0.9791196547986355,0.0,0.0,0.20328477952616314
5.749000000000255,0.0,0.0,0.14481872948727895,0.0,0.0,89.33122444612744,0.9791049339305296,0.0,0.0,0.20335566958630238
5.750000000000255,0.0,0.0,0.1448326946056875,0.0,0.0,89.3161624081085,0.979090206508936,0.0,0.0,0.2034265654192911
